customer_id,credit_score,geography,gender,age,tenure,balance,num_of_products,has_credit_card,is_active_member,estimated_salary,attrition_flag,digital_usage_proxy,complaints_last_6m
15749540,585,France,Male,36,7,0.0,2,1,0,94283.09,0,3,3
15807340,525,Germany,Male,33,4,131023.76,2,0,0,55072.93,0,7,1
15801062,557,Spain,Female,40,4,0.0,2,0,1,105433.53,0,18,0
15572801,639,Spain,Male,34,5,139393.19,2,0,0,33950.08,0,4,0
15600708,640,Spain,Female,34,3,77826.8,1,1,1,168544.85,0,8,1
15703544,559,Spain,Male,34,0,0.0,1,1,0,182988.94,0,4,1
15704081,595,Germany,Male,30,9,130682.11,2,1,1,57862.88,0,12,0
15801788,706,Germany,Female,29,6,185544.36,1,1,0,171037.63,0,3,0
15592222,505,France,Male,49,7,80001.23,1,0,0,135180.11,0,6,0
15584338,714,France,Female,40,0,0.0,2,1,0,62762.12,0,1,1
15730793,699,Germany,Female,54,3,111009.32,1,1,1,155905.79,1,9,1
15625819,625,France,Female,38,7,0.0,1,1,0,164804.02,0,4,1
15601387,721,France,Male,35,10,0.0,2,1,0,71594.26,0,6,1
15761525,727,Spain,Female,31,10,96997.09,2,0,0,76614.04,0,5,1
15766649,670,France,Male,38,10,89416.99,1,0,0,144275.39,0,8,1
15591179,702,Spain,Male,30,2,0.0,2,1,1,145537.32,0,5,1
15734005,633,France,Female,42,1,0.0,2,1,0,56865.62,0,5,1
15687270,491,Spain,Female,61,8,0.0,2,0,1,139861.53,0,11,0
15646764,617,Germany,Female,58,3,119024.75,2,1,0,35199.24,1,1,2
15610930,572,Germany,Female,35,1,139979.07,1,1,0,185662.84,0,3,0
15656683,551,France,Male,52,1,0.0,1,0,0,63584.55,1,11,2
15790412,471,Spain,Male,26,8,0.0,2,1,1,179655.87,0,18,1
15589437,466,France,Male,26,3,156815.71,1,1,1,137476.09,0,17,1
15622631,588,France,Male,44,8,154409.74,1,1,0,49324.03,1,4,3
15768295,778,France,Female,34,7,109564.1,1,0,1,113046.81,0,13,0
15768006,729,France,Male,34,3,152303.8,1,1,0,12128.69,0,4,2
15619045,776,France,Female,43,4,0.0,2,0,1,162137.5,0,10,1
15694805,664,Spain,Male,35,1,115024.5,1,0,1,169665.79,0,17,1
15665064,523,France,Male,36,8,158351.02,2,1,0,155304.53,0,4,2
15756535,733,Germany,Male,39,5,91538.51,1,1,1,93783.0,0,21,0
15750803,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,11,1
15627665,614,France,Male,46,4,0.0,1,1,0,74379.57,1,5,1
15749472,775,France,Male,45,8,0.0,1,1,0,130376.68,0,7,0
15640917,633,France,Male,43,5,0.0,2,1,1,48249.88,0,11,0
15578866,676,France,Female,43,2,0.0,1,1,1,55119.53,0,13,1
15622518,768,France,Female,26,5,51116.26,1,1,1,70454.79,1,19,3
15685872,727,France,Female,29,1,146652.01,1,1,1,173486.39,0,13,1
15625126,629,France,Female,40,6,0.0,2,1,1,139356.3,0,8,1
15752809,702,Spain,Male,43,6,116121.67,1,1,0,61602.42,0,4,1
15585580,796,Germany,Female,52,9,167194.36,1,1,1,62808.93,1,17,1
15738546,530,Spain,Female,41,4,0.0,2,0,1,147606.71,0,11,1
15737080,510,France,Female,32,1,0.0,2,0,1,28515.17,0,13,0
15644400,709,France,Male,44,9,128601.98,1,1,0,117031.2,0,1,1
15745844,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1,11,4
15581332,655,Germany,Female,30,1,83173.98,2,1,1,184259.6,0,17,0
15640491,464,France,Female,33,10,147493.7,2,1,0,100447.53,0,9,2
15673837,617,Spain,Male,61,3,113858.95,1,1,1,38129.22,0,13,1
15768163,655,Germany,Female,46,7,137145.12,1,1,0,115146.4,1,4,0
15607786,709,France,Male,26,6,156551.63,1,0,1,4410.77,0,11,1
